timestamp,open,high,low,close,volume
2026-02-19 16:36:00-0500,24889.0,24890.75,24880.25,24883.0,4127
2026-02-19 16:37:00-0500,24882.75,24888.5,24879.0,24887.25,2443
2026-02-19 16:38:00-0500,24887.25,24898.25,24885.75,24895.0,3041
2026-02-19 16:39:00-0500,24895.75,24901.75,24889.5,24891.5,2201
2026-02-19 16:40:00-0500,24892.0,24897.25,24883.0,24889.0,2609
2026-02-19 16:41:00-0500,24889.25,24890.75,24872.0,24878.0,3191
2026-02-19 16:42:00-0500,24878.0,24885.25,24874.5,24874.5,2520
2026-02-19 16:43:00-0500,24874.5,24881.5,24869.25,24876.75,2838
2026-02-19 16:44:00-0500,24876.25,24882.0,24837.75,24843.25,6638
2026-02-19 16:45:00-0500,24842.5,24864.25,24840.25,24851.0,6430
2026-02-19 16:46:00-0500,24851.5,24852.75,24832.25,24834.0,5487
2026-02-19 16:47:00-0500,24834.0,24845.0,24828.25,24842.5,4432
2026-02-19 16:48:00-0500,24841.75,24847.0,24827.0,24829.5,3972
2026-02-19 16:49:00-0500,24829.75,24832.25,24818.0,24830.5,4985
2026-02-19 16:50:00-0500,24830.75,24830.75,24808.75,24823.75,7000
2026-02-19 16:51:00-0500,24823.75,24826.25,24802.0,24805.75,4818
2026-02-19 16:52:00-0500,24805.75,24815.75,24801.75,24808.25,3984
2026-02-19 16:53:00-0500,24808.0,24846.25,24807.25,24838.0,7501
2026-02-19 16:54:00-0500,24838.0,24872.25,24835.5,24868.5,6737
2026-02-19 16:55:00-0500,24869.25,24872.5,24859.0,24864.25,4787
2026-02-19 16:56:00-0500,24864.25,24867.5,24840.25,24852.25,5393
2026-02-19 16:57:00-0500,24852.0,24858.75,24836.75,24842.0,4086
2026-02-19 16:58:00-0500,24841.75,24855.5,24839.5,24842.75,2620
2026-02-19 16:59:00-0500,24843.25,24853.75,24841.75,24843.5,1982
2026-02-19 17:00:00-0500,24844.5,24850.25,24835.5,24841.75,3211
2026-02-19 17:01:00-0500,24842.5,24848.75,24823.5,24831.25,4466
2026-02-19 17:02:00-0500,24831.0,24835.0,24816.0,24817.5,3856
2026-02-19 17:03:00-0500,24817.5,24828.75,24817.25,24823.25,3150
2026-02-19 17:04:00-0500,24823.25,24827.5,24813.75,24823.5,3028
2026-02-19 17:05:00-0500,24823.0,24825.5,24812.5,24817.0,2489
2026-02-19 17:06:00-0500,24816.75,24833.25,24810.25,24826.75,3849
2026-02-19 17:07:00-0500,24826.0,24848.75,24825.25,24843.75,5176
2026-02-19 17:08:00-0500,24843.25,24853.0,24831.5,24834.75,3902
2026-02-19 17:09:00-0500,24834.0,24844.75,24826.75,24830.0,2609
2026-02-19 17:10:00-0500,24830.0,24841.75,24823.0,24841.5,3619
