time,open,high,low,close,Volume
1769382000,25590.25,25590.5,25399.5,25462.5,10983
1769382180,25462.25,25468.5,25452,25458.25,3467
1769382360,25460,25484.25,25456.75,25478.25,2799
1769382540,25478.75,25494.25,25462,25488.5,3415
1769382720,25488.75,25501.25,25487.5,25499,3010
1769382900,25499,25517,25487.25,25511,3073
1769383080,25513,25526,25508.75,25520.25,3154
1769383260,25520.75,25542.5,25516.5,25523.5,4110
1769383440,25523.5,25534.5,25505,25529.5,3765
1769383620,25530.5,25534.75,25515.5,25529.75,2641
1769383800,25530,25545.25,25527.75,25538.75,3074
1769383980,25539.25,25541.25,25511.25,25513,2711
1769384160,25513,25517.5,25503.25,25503.75,2045
1769384340,25503.25,25524.5,25501.5,25515,3246
1769384520,25514.25,25518,25493,25497.5,3432
1769384700,25498,25541,25494.25,25534.75,4298
1769384880,25535.75,25548.25,25528.5,25543.25,2563
1769385060,25544,25556.75,25520.75,25529.25,3408
1769385240,25529.5,25543.75,25523.5,25543.5,1845
1769385420,25543.75,25571.5,25543.25,25559.5,4191
1769385600,25559.25,25576.25,25543.25,25571.5,4660
1769385780,25572.5,25589.25,25569.25,25581,3218
1769385960,25582,25594,25575,25590.25,2853
1769386140,25591.5,25596.5,25580.75,25581.25,2690
1769386320,25582.25,25593.5,25575,25578.25,2510
1769386500,25578.25,25594.75,25573.25,25576.25,2236
1769386680,25576.5,25590,25571,25587.75,2182
1769386860,25588,25592.5,25578.75,25581.25,1952
1769387040,25581.5,25596,25581,25586,1869
1769387220,25585.75,25610,25583.75,25607.25,3562
1769387400,25606.75,25618,25590.25,25593.25,3900
1769387580,25592.75,25597.75,25581.25,25592.75,2821
1769387760,25592.5,25598.75,25580.5,25581.25,2240
1769387940,25581.25,25582.25,25567,25568.75,2666
1769388120,25568.75,25582,25566,25579.75,1862
1769388300,25579.5,25580.25,25563.75,25575,2273
1769388480,25575,25577.75,25568,25570.75,1211
1769388660,25570.25,25576,25565.5,25566.75,1025
1769388840,25566.75,25594.25,25562.5,25585.5,2914
1769389020,25585,25585.5,25566.75,25582,2095
1769389200,25582.25,25599.75,25570,25598,3420
1769389380,25597.75,25645.5,25597.5,25638.5,6504
1769389560,25638.75,25645.75,25615.5,25616.75,3571
1769389740,25617,25621.5,25605.25,25611.25,2524
1769389920,25611.25,25618.75,25603.25,25606.75,1647
1769390100,25606.25,25627.5,25605.75,25619,2482
1769390280,25620,25629,25612,25627,1669
1769390460,25626.75,25661.75,25625.75,25654.25,5006
1769390640,25654.25,25661.75,25644.25,25646,2473
1769390820,25646.75,25653.5,25644.5,25651,1735
1769391000,25650.25,25654.75,25642.75,25647,1533
1769391180,25647.5,25649.25,25637.75,25640.25,1321
1769391360,25640.25,25642.75,25632,25637.5,1489
1769391540,25637.5,25646.75,25631,25642,1629
1769391720,25642,25649.5,25636.75,25647.25,1490
1769391900,25646.25,25656.75,25641.75,25648,1663
1769392080,25647.5,25659.75,25645.75,25650.5,1397
1769392260,25650,25669.25,25641,25666.25,2139
1769392440,25666,25666.25,25652.5,25664.25,1813
1769392620,25664,25667.5,25647,25649.75,1655
1769392800,25649.5,25657.5,25647.75,25651.25,1502
1769392980,25651,25659.75,25648.25,25654.5,1034
1769393160,25654,25662,25649,25649.75,1116
1769393340,25650.5,25663.5,25648.75,25663,1146
1769393520,25663,25666.25,25652.25,25656,1111
1769393700,25655.5,25663,25649.5,25655.25,987
1769393880,25654.75,25657,25648,25651,872
1769394060,25650.5,25664.75,25649.25,25649.5,1354
1769394240,25650.25,25654.5,25641.75,25645,2328
1769394420,25645.25,25651.5,25641.75,25649,1000
1769394600,25649.25,25651,25629.75,25640,2409
1769394780,25640.5,25647.5,25637.75,25641.25,1173
1769394960,25642.75,25642.75,25630,25634.75,1297
1769395140,25635,25639.5,25627.25,25628.75,1336
1769395320,25629,25632.25,25616.25,25619,2053
1769395500,25619.25,25620,25604.75,25607.5,2570
1769395680,25608,25616,25598,25609.25,3353
1769395860,25610.75,25619,25600.5,25601.25,1784
1769396040,25601.25,25612,25599.5,25611,1285
1769396220,25611,25612.75,25607.5,25610,560
1769396400,25609.75,25632,25608.75,25624.75,2772
1769396580,25624.75,25651.25,25624.25,25649.75,2595
1769396760,25649.5,25657.75,25640.75,25643.25,2397
1769396940,25643,25655.75,25642.5,25650.5,1655
1769397120,25651.25,25651.25,25643.25,25644.75,830
1769397300,25645,25646.75,25636,25641.75,1211
1769397480,25642.25,25644.5,25628.75,25632.25,1648
1769397660,25632,25634.25,25624.75,25627.75,1479
1769397840,25627.5,25636,25622,25633.75,1336
1769398020,25634,25645.5,25634,25638.75,1525
1769398200,25638.25,25640.25,25629,25631.5,1262
1769398380,25632.5,25642,25625.75,25640,1212
1769398560,25640.75,25641,25630,25635.25,720
1769398740,25635.25,25646.25,25632.75,25642.75,1199
1769398920,25643.25,25644.5,25632.25,25634.5,969
1769399100,25635,25638.75,25629,25635.5,962
1769399280,25637,25637,25624.75,25634,1270
1769399460,25634,25643,25600,25628.25,2880
1769399640,25628.25,25633.25,25622.25,25626.75,1120
1769399820,25626.75,25648.5,25625.25,25634.25,1618
1769400000,25635,25635.25,25627.25,25631.5,616
1769400180,25631.25,25632.25,25623,25631.25,1009
1769400360,25631.75,25634.5,25628.5,25629.5,576
1769400540,25630,25632,25626.5,25631,268
1769400720,25630.75,25631.25,25625.25,25628.25,514
1769400900,25627.75,25635,25625,25631.5,621
1769401080,25631.5,25644,25627.75,25639.25,1198
1769401260,25639.25,25645,25635,25637.5,719
1769401440,25638,25649,25633.75,25641.75,997
1769401620,25641.25,25651.75,25640,25650.25,814
1769401800,25650.75,25659.25,25627,25631.25,2872
1769401980,25630.5,25634.5,25623.25,25633.5,1816
1769402160,25633.5,25644.75,25632.75,25644,641
1769402340,25644.5,25645.5,25630.5,25634,816
1769402520,25634.25,25634.5,25622.75,25628.75,972
1769402700,25629.25,25637.75,25623.25,25637.75,1009
1769402880,25637.5,25637.5,25626.75,25629.25,616
1769403060,25629,25634,25624,25632.25,573
1769403240,25631.5,25638,25631,25637,362
1769403420,25636.25,25641.75,25634.75,25634.75,598
1769403600,25635.25,25640.25,25632.25,25636,494
1769403780,25636.25,25640.75,25634,25635.5,374
1769403960,25635.5,25637.25,25632.5,25633.75,301
1769404140,25633,25637,25629.25,25632.25,406
1769404320,25632,25634,25626.5,25629.5,480
1769404500,25630,25638,25629,25635.75,536
1769404680,25636.5,25649,25634.75,25648,1123
1769404860,25649,25655,25645,25646.25,1182
1769405040,25646,25648.75,25642,25647.25,869
1769405220,25647.75,25668.5,25646.5,25663.5,1706
1769405400,25663.75,25666.75,25657,25665.75,928
1769405580,25666,25677,25663.75,25668.75,2286
1769405760,25668.25,25671.75,25663.75,25667.25,695
1769405940,25667.5,25668.75,25661.5,25662.75,670
1769406120,25663.25,25669.75,25662.25,25666.5,651
1769406300,25666.25,25667.25,25661,25663.25,518
1769406480,25663.75,25669.5,25658.5,25668.25,653
1769406660,25669.25,25673,25668,25671,610
1769406840,25671,25673.5,25668.5,25671.25,629
1769407020,25670.75,25676.25,25668.25,25674.75,629
1769407200,25674.75,25689.5,25673.25,25682.75,2875
1769407380,25682.5,25687.5,25678.5,25680,888
1769407560,25679.5,25688.5,25678.5,25684.5,742
1769407740,25684.75,25687.5,25676.75,25683.75,1011
1769407920,25683.75,25690,25677.5,25687,977
1769408100,25687.5,25695.75,25683.5,25694.5,1431
1769408280,25695.75,25698,25691.75,25693.5,835
1769408460,25693.75,25699,25692.5,25695.5,679
1769408640,25696,25698.75,25694.5,25696.75,620
1769408820,25696.75,25703.5,25693.25,25693.5,1817
1769409000,25694,25698.25,25686.5,25688.25,1274
1769409180,25687.75,25690,25675.75,25680.5,1483
1769409360,25680.5,25682.75,25675.75,25678.75,646
1769409540,25678.25,25679.25,25669,25671.75,1015
1769409720,25671.5,25675,25668.25,25672.75,892
1769409900,25672.75,25674.5,25666,25669.75,1027
1769410080,25669.75,25686,25669.75,25685.5,1312
1769410260,25685.75,25695.75,25685,25686.75,1364
1769410440,25686,25686.5,25671.5,25677.5,1538
1769410620,25677,25684.75,25665.25,25669,1369
1769410800,25668.75,25682,25665,25680.25,1627
1769410980,25680,25680.25,25671.25,25677,701
1769411160,25677.5,25678.25,25674.25,25677.25,469
1769411340,25677.75,25684.75,25673.75,25682.75,793
1769411520,25683.75,25686,25679.25,25684.5,467
1769411700,25684.75,25689.75,25675.5,25675.5,964
1769411880,25675,25681.5,25675,25680,350
1769412060,25680.75,25694,25680.75,25693,863
1769412240,25693.25,25694.5,25689.5,25694.5,524
1769412420,25694.5,25696.25,25688.5,25694.25,619
1769412600,25693.5,25695.5,25678.75,25680,1022
1769412780,25679.5,25689.75,25678,25689.5,498
1769412960,25689.25,25695,25689.25,25691.5,397
1769413140,25691.5,25697.75,25688.75,25695.5,494
1769413320,25696,25699.5,25693.25,25695.25,880
1769413500,25694.5,25701,25692.25,25695.25,832
1769413680,25696,25696.25,25688,25693.75,510
1769413860,25693.25,25701.75,25691.75,25699,791
1769414040,25699.25,25707,25697.25,25706,1456
1769414220,25705.5,25711.5,25698,25699.75,1288
1769414400,25700.5,25709.25,25699,25703.75,1223
1769414580,25704,25714,25699.25,25712.5,1072
1769414760,25713.5,25719.25,25710.75,25713,1352
1769414940,25713,25721,25706.25,25706.75,1259
1769415120,25707.25,25713,25701.75,25709.75,1103
1769415300,25710.5,25713.75,25704,25707,1002
1769415480,25707.5,25714.25,25707.5,25709,365
1769415660,25710.5,25730,25710,25727.25,1724
1769415840,25727.5,25742.25,25726.25,25732.75,2729
1769416020,25733,25735,25727.25,25729.75,832
1769416200,25728.75,25741.5,25725.5,25736.5,1408
1769416380,25737,25737.75,25718,25718.5,1467
1769416560,25719,25735,25717.5,25730.5,947
1769416740,25729.75,25732,25722,25722.75,674
1769416920,25723.25,25726.5,25718.75,25722.75,667
1769417100,25723.25,25726.25,25718.5,25720.5,610
1769417280,25721.75,25725.25,25713.5,25725,1054
1769417460,25724.75,25728.25,25719.5,25727.25,777
1769417640,25726.25,25727.5,25721.75,25725,385
1769417820,25725.25,25731,25720.25,25727.5,626
1769418000,25727.5,25729,25715,25720.75,1208
1769418180,25720.5,25727,25718,25723,551
1769418360,25723.5,25735,25720,25731.5,1000
1769418540,25732.75,25734.75,25718.75,25720,1062
1769418720,25721,25724.5,25703.75,25705.5,1590
1769418900,25705.25,25713.5,25701.25,25710,1404
1769419080,25710.5,25712.75,25703.5,25706,747
1769419260,25706,25706.5,25693.75,25695.75,1831
1769419440,25695,25701.75,25687.75,25688.75,1391
1769419620,25688.5,25695.75,25687.75,25688.5,844
1769419800,25688.5,25690,25655.75,25660,3413
1769419980,25659.75,25664.5,25639,25643,2965
1769420160,25642.5,25649.25,25635.25,25647.25,2263
1769420340,25646.5,25647,25629.25,25636.25,2419
1769420520,25635.75,25642,25613.75,25616,2276
1769420700,25616.75,25624.5,25611,25613,2324
1769420880,25612.5,25613.5,25590.25,25593,3415
1769421060,25592.5,25601.25,25586,25594,2624
1769421240,25592.25,25617,25582.25,25607,3052
1769421420,25607.5,25621.5,25605.25,25618.5,1623
1769421600,25617.75,25626.5,25614,25623.75,1837
1769421780,25623.75,25634.75,25622,25634.75,1194
1769421960,25634.75,25636.5,25619.5,25620.25,1268
1769422140,25619.75,25626.5,25616.25,25624.75,1027
1769422320,25625.5,25639.5,25623.75,25638,1200
1769422500,25638.25,25646.5,25634,25641.5,1785
1769422680,25641.25,25641.75,25628,25631.25,1184
1769422860,25631.5,25638.25,25626,25635.75,991
1769423040,25636.75,25645.75,25634.25,25636.5,1032
1769423220,25636.25,25656.75,25636.25,25651.5,1811
1769423400,25650.75,25656,25647.75,25651.25,900
1769423580,25652.75,25666,25650.75,25662.75,1665
1769423760,25663,25674.25,25661.5,25662.5,1552
1769423940,25662.5,25669,25658.5,25664.25,991
1769424120,25664.25,25665.5,25652,25657.25,1064
1769424300,25656.75,25665.5,25654.5,25664.75,717
1769424480,25665.5,25665.5,25655.5,25659.5,625
1769424660,25659.75,25664.25,25652.75,25652.75,758
1769424840,25652.75,25660.25,25650.25,25655.75,946
1769425020,25656.75,25658.75,25649.5,25651.5,928
1769425200,25651.5,25659.5,25648.5,25655.75,1280
1769425380,25656,25657.25,25644.5,25655,1072
1769425560,25655.5,25659.75,25648,25650.75,699
1769425740,25652,25652,25642.25,25645,705
1769425920,25645.25,25652,25641.75,25650.75,562
1769426100,25651.25,25656.25,25648.25,25653.25,692
1769426280,25653.5,25659.5,25651.75,25655.5,573
1769426460,25655.25,25658.5,25652,25653.75,603
1769426640,25654.25,25655,25645,25645,757
1769426820,25645.5,25652.5,25644,25648.5,367
1769427000,25649.75,25662,25647,25658.75,891
1769427180,25658.75,25661.75,25654.25,25660,710
1769427360,25660,25660,25652.25,25654.75,548
1769427540,25656,25657.5,25651.75,25656.75,504
1769427720,25657,25657.5,25648.25,25653.5,629
