time,open,high,low,close,Volume
1756677600,23478.5,23515.25,23464.25,23504.75,11026
1756678500,23505,23514.75,23498.5,23499.5,3335
1756679400,23500.25,23525.5,23498.75,23522.25,3049
1756680300,23523.5,23537,23522.25,23536.25,3193
1756681200,23536.25,23546,23531,23535.75,3631
1756682100,23536,23542.25,23529.25,23534,2938
1756683000,23534,23537,23529,23536,2042
1756683900,23536.25,23538.25,23528.75,23538,1735
1756684800,23538.5,23552.25,23529.75,23549.5,4962
1756685700,23548.75,23555.25,23530.25,23536.5,4131
1756686600,23536.5,23541,23530,23539.25,2089
1756687500,23539.5,23544.5,23537.75,23538.5,1743
1756688400,23538.5,23540.5,23531,23535.75,2214
1756689300,23535.5,23539.25,23528.75,23534.75,1880
1756690200,23534.75,23539,23529.25,23532.25,1545
1756691100,23532.75,23535.75,23508,23517.5,4598
1756692000,23517.75,23518.25,23486.25,23487,5291
1756692900,23487.25,23490.25,23474.25,23477,4971
1756693800,23477,23485.5,23465.5,23472.75,4230
1756694700,23473,23483.25,23467.5,23469.25,3120
1756695600,23469.25,23484.75,23453,23479.75,5776
1756696500,23480,23482,23434,23443.5,8113
1756697400,23443.5,23449,23431.75,23446.25,3904
1756698300,23447,23450.25,23440,23441.75,2417
1756699200,23442.5,23447,23436.75,23438.75,2283
1756700100,23438.75,23445,23432,23433,2624
1756701000,23433.25,23434,23407.5,23418.25,7335
1756701900,23418.75,23442.5,23416.5,23427.75,4413
1756702800,23428.25,23433.25,23409.75,23421.5,4346
1756703700,23421.5,23436.25,23414,23435.5,3080
1756704600,23436,23448.75,23431,23447.75,2986
1756705500,23447.75,23448,23424.75,23430.25,4014
1756706400,23429.75,23430.75,23391.5,23398.5,8234
1756707300,23398.25,23401.25,23371.5,23375,6442
1756708200,23375.25,23459,23375.25,23458,9950
1756709100,23458.5,23473.5,23441,23449,7965
1756710000,23449.5,23468.75,23442.5,23449.5,6045
1756710900,23449.75,23475.75,23444,23472.75,4837
1756711800,23473.5,23477,23463.5,23472.25,4151
1756712700,23472.5,23477.5,23457.5,23470,3405
1756713600,23470,23482,23459.25,23473.5,4037
1756714500,23473.5,23490.25,23462.5,23485.25,4950
1756715400,23484.75,23502.5,23484,23495.25,4368
1756716300,23495.25,23498,23478.75,23490.25,3427
1756717200,23489.75,23490.75,23477.75,23482.5,2134
1756718100,23483,23497,23481.25,23491,1896
1756719000,23491,23496.75,23484.5,23486,2013
1756719900,23486,23488.5,23476,23485.25,2376
1756720800,23485.5,23496.5,23480.25,23495.75,2008
1756721700,23495.5,23496.75,23488.5,23490.25,1332
1756722600,23490.75,23501.75,23484.25,23492.5,2938
1756723500,23492,23493.5,23482.75,23486.25,2222
1756724400,23486,23494.25,23481.75,23483.5,2467
1756725300,23483.25,23487.75,23460.75,23465.25,3438
1756726200,23465.25,23472.5,23446.25,23461.75,4974
1756727100,23461.75,23472,23456.75,23466.25,2925
1756728000,23465.75,23471.25,23460,23469,2368
1756728900,23469,23475.5,23464,23472.75,2220
1756729800,23472.75,23482.5,23471,23472.25,2918
1756730700,23472.25,23478,23465,23477.25,3290
1756731600,23477.25,23483.75,23475.5,23482.75,2352
1756732500,23482.75,23487.5,23473.5,23476.75,3941
1756733400,23476,23484,23443.25,23481.5,16587
1756734300,23481.25,23495,23473.25,23488.75,9344
1756735200,23488.5,23493.75,23483,23486.25,5257
1756736100,23486.25,23488.25,23476,23484.5,5574
1756737000,23484.5,23491.75,23482.75,23488.75,4942
1756737900,23489,23492.25,23484,23491.5,3526
1756738800,23491,23496,23479.25,23489.25,6942
1756739700,23489,23505,23488.5,23502.75,6028
1756740600,23503,23507,23501,23502.5,4252
1756741500,23502.75,23503.25,23494.25,23495.25,3979
1756742400,23495.75,23499.25,23485.75,23490,4718
1756743300,23490,23492.25,23481.75,23487,3575
1756744200,23487.25,23505.75,23486.25,23502.25,5012
1756745100,23502.25,23506.75,23496.75,23502.75,3604
1756764000,23502.75,23511,23486.5,23492,5951
1756764900,23492.25,23498.25,23479.25,23480.75,2994
1756765800,23480.5,23486.75,23479.5,23480,1897
1756766700,23480.25,23485.75,23460.25,23461.75,4433
1756767600,23462,23465,23445.25,23457.75,6916
1756768500,23457.75,23460.5,23428.25,23438.75,7360
1756769400,23438.5,23447.75,23431,23437.5,4290
1756770300,23437.5,23447,23432.25,23445.5,3799
1756771200,23445.5,23452.25,23436.25,23440.5,5376
1756772100,23440,23449.25,23431,23438.5,3938
1756773000,23438.5,23459.75,23437.25,23458,5107
1756773900,23458,23474.5,23457,23474,5462
1756774800,23473.25,23484.5,23472.5,23482.75,3658
1756775700,23483,23483,23462.5,23465.75,4324
1756776600,23465.75,23474.5,23464.25,23468.25,3476
1756777500,23467.5,23475.25,23438.5,23438.5,5457
1756778400,23439,23448,23431,23434.75,6259
1756779300,23434.25,23434.5,23418.5,23426.25,5990
1756780200,23425.75,23426.75,23414.5,23423.5,3827
1756781100,23423.5,23432.5,23419.25,23425.75,3655
1756782000,23426.25,23431.25,23416.5,23423,3157
1756782900,23422.75,23436.75,23422.5,23433,2890
1756783800,23433.25,23438.75,23427.5,23436.5,1890
1756784700,23436.5,23442.5,23436.5,23437.75,1634
1756785600,23438,23443.75,23433.5,23442.25,1532
1756786500,23442.25,23450.75,23442.25,23449.75,1694
1756787400,23449.5,23450,23427.25,23434.5,3380
1756788300,23434.5,23445.75,23434.5,23438,1857
1756789200,23437.5,23439,23404.75,23415.25,6530
1756790100,23415,23420.5,23410,23420,2446
1756791000,23420.5,23425.5,23407.25,23414,3592
1756791900,23413.25,23436.75,23412,23413.25,3729
1756792800,23413,23437.25,23406.25,23429.25,4355
1756793700,23429,23439.5,23418,23424.25,3387
1756794600,23423.5,23439.5,23422.5,23436.25,2842
1756795500,23436,23448,23434,23447.5,3607
1756796400,23447.25,23452.25,23390,23391.5,10335
1756797300,23391.5,23413.25,23372.75,23412,12901
1756798200,23412.5,23422.5,23353,23353.75,14293
1756799100,23353.25,23364,23270,23278,26651
1756800000,23278.5,23320,23267.5,23288.5,16724
1756800900,23288.5,23325.75,23286.75,23308.75,8671
1756801800,23308.5,23333.75,23298.25,23329.75,6518
1756802700,23329.25,23332.75,23303,23310.75,6054
1756803600,23310.25,23321.25,23299,23311.5,4773
1756804500,23311.25,23331.25,23309.75,23325.75,4169
1756805400,23325.75,23330.25,23315.25,23316.75,3667
1756806300,23316.25,23318.25,23290.5,23292.5,5326
1756807200,23292,23311.5,23288.5,23300,4275
1756808100,23300.75,23301.75,23248,23254.25,10004
1756809000,23254.5,23264.25,23231.25,23256.75,12240
1756809900,23256.5,23260.75,23241.75,23253.75,6372
1756810800,23254.25,23260.75,23223,23246,10537
1756811700,23246,23252.75,23228.25,23234.75,8520
1756812600,23234.5,23247.25,23227.25,23236.25,7082
1756813500,23236.5,23245.75,23214.5,23224.75,9000
1756814400,23224.5,23224.5,23165.5,23178.75,25030
1756815300,23178.25,23186.5,23156.25,23165,14868
1756816200,23165.5,23172.75,23120.5,23134,22591
1756817100,23134.25,23142.75,23060,23096,37102
1756818000,23096,23124.25,23078.5,23122.75,31536
1756818900,23122.5,23129.75,23088.75,23100.5,23605
1756819800,23100.25,23177.5,23025,23151.5,120816
1756820700,23150.75,23261,23137.75,23233.25,94220
1756821600,23230.25,23280.25,23196.25,23208.5,91986
1756822500,23208.75,23262.75,23187.5,23261.5,82067
1756823400,23261.25,23261.5,23178.25,23181.75,65902
1756824300,23182.5,23188.25,23135,23162,68858
1756825200,23162.25,23179.25,23123,23129.75,52491
1756826100,23129.5,23135.5,23095.5,23109.75,51290
1756827000,23109.75,23109.75,23051,23055.25,47782
1756827900,23055.5,23066.25,23026.5,23047.75,43835
1756828800,23048,23069,23037.75,23061.75,34444
1756829700,23061.25,23085,23060.25,23067,29759
1756830600,23067,23104.5,23066.25,23090.25,25678
1756831500,23090.25,23131,23071,23126.25,31595
1756832400,23126.75,23143.5,23104.25,23116.25,29270
1756833300,23115.75,23168.5,23112.25,23161.25,26139
1756834200,23160.75,23224,23160.5,23218.5,38891
1756835100,23219,23226.75,23187.75,23189,30048
1756836000,23189.25,23207.5,23175.75,23180,24569
1756836900,23180.25,23188,23162.25,23164.25,22526
1756837800,23164.25,23184,23157.5,23168.25,19784
1756838700,23168.25,23232.75,23163,23189.25,38776
1756839600,23189,23224.5,23188.5,23222,25274
1756840500,23221.5,23240.25,23215,23233.75,21503
1756841400,23233.75,23261.25,23230,23247.75,26408
1756842300,23247.5,23290,23235.25,23277.25,46814
1756843200,23277.25,23374.5,23269.5,23352.5,41393
1756844100,23352.25,23386.5,23340.5,23373.5,24571
1756845000,23373.25,23374,23357.5,23365.75,7770
1756845900,23366.25,23383,23365,23379.25,6504
1756850400,23381.5,23387.5,23353.75,23362.25,7358
1756851300,23362.25,23375.75,23352.25,23358.25,5080
1756852200,23358.25,23367,23349,23353,4592
1756853100,23352.5,23358.75,23335,23341.75,4746
1756854000,23341.25,23345.75,23336.75,23339.75,3039
1756854900,23341.5,23344.75,23326,23337.5,3792
1756855800,23337.5,23343.75,23331.25,23333,3081
1756856700,23332.75,23336,23327.25,23334.5,2639
1756857600,23333.75,23336,23323.25,23334,4814
1756858500,23334.5,23338.5,23327,23336,4946
1756859400,23335.75,23343.25,23326.25,23333.75,4400
